year,odds_range,ev_threshold,score_pctl,pop_min,roi,bet_count,hit_count,hit_rate
2025,5-30,1.0,0.4,3,59.01960784313726,153,12,7.8431372549019605
2025,5-30,1.0,0.4,4,44.78632478632478,117,6,5.128205128205128
2025,5-30,1.0,0.4,5,13.414634146341465,82,1,1.2195121951219512
2025,5-30,1.0,0.5,all,69.31506849315068,73,7,9.58904109589041
2025,5-30,1.0,0.5,3,70.0,65,6,9.230769230769232
2025,5-30,1.0,0.5,4,46.078431372549026,51,3,5.88235294117647
2025,5-30,1.0,0.5,5,0.0,35,0,0.0
2025,5-30,1.0,0.6,all,56.315789473684205,38,3,7.894736842105263
2025,5-30,1.0,0.6,3,66.875,32,3,9.375
2025,5-30,1.0,0.6,4,33.6,25,1,4.0
2025,5-30,1.0,0.6,5,0.0,17,0,0.0
2025,5-30,1.0,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-30,1.0,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-30,1.0,0.7,4,0.0,9,0,0.0
2025,5-30,1.0,0.7,5,0.0,6,0,0.0
2025,5-30,1.2,0.4,all,60.538922155688624,167,14,8.383233532934131
2025,5-30,1.2,0.4,3,59.01960784313726,153,12,7.8431372549019605
2025,5-30,1.2,0.4,4,44.78632478632478,117,6,5.128205128205128
2025,5-30,1.2,0.4,5,13.414634146341465,82,1,1.2195121951219512
2025,5-30,1.2,0.5,all,69.31506849315068,73,7,9.58904109589041
2025,5-30,1.2,0.5,3,70.0,65,6,9.230769230769232
2025,5-30,1.2,0.5,4,46.078431372549026,51,3,5.88235294117647
2025,5-30,1.2,0.5,5,0.0,35,0,0.0
2025,5-30,1.2,0.6,all,56.315789473684205,38,3,7.894736842105263
2025,5-30,1.2,0.6,3,66.875,32,3,9.375
2025,5-30,1.2,0.6,4,33.6,25,1,4.0
2025,5-30,1.2,0.6,5,0.0,17,0,0.0
2025,5-30,1.2,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-30,1.2,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-30,1.2,0.7,4,0.0,9,0,0.0
2025,5-30,1.2,0.7,5,0.0,6,0,0.0
2025,5-50,0.5,0.4,all,75.91954022988507,174,15,8.620689655172415
2025,5-50,0.5,0.4,3,75.8125,160,13,8.125
2025,5-50,0.5,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,0.5,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,0.5,0.5,all,102.0,80,8,10.0
2025,5-50,0.5,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,0.5,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,0.5,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,0.5,0.6,all,131.0,40,4,10.0
2025,5-50,0.5,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,0.5,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,0.5,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,0.5,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,0.5,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,0.5,0.7,4,0.0,9,0,0.0
2025,5-50,0.5,0.7,5,0.0,6,0,0.0
2025,5-50,0.6,0.4,all,75.91954022988507,174,15,8.620689655172415
2025,5-50,0.6,0.4,3,75.8125,160,13,8.125
2025,5-50,0.6,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,0.6,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,0.6,0.5,all,102.0,80,8,10.0
2025,5-50,0.6,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,0.6,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,0.6,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,0.6,0.6,all,131.0,40,4,10.0
2025,5-50,0.6,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,0.6,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,0.6,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,0.6,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,0.6,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,0.6,0.7,4,0.0,9,0,0.0
2025,5-50,0.6,0.7,5,0.0,6,0,0.0
2025,5-50,0.7,0.4,all,75.91954022988507,174,15,8.620689655172415
2025,5-50,0.7,0.4,3,75.8125,160,13,8.125
2025,5-50,0.7,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,0.7,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,0.7,0.5,all,102.0,80,8,10.0
2025,5-50,0.7,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,0.7,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,0.7,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,0.7,0.6,all,131.0,40,4,10.0
2025,5-50,0.7,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,0.7,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,0.7,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,0.7,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,0.7,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,0.7,0.7,4,0.0,9,0,0.0
2025,5-50,0.7,0.7,5,0.0,6,0,0.0
2025,5-50,0.8,0.4,all,75.91954022988507,174,15,8.620689655172415
2025,5-50,0.8,0.4,3,75.8125,160,13,8.125
2025,5-50,0.8,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,0.8,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,0.8,0.5,all,102.0,80,8,10.0
2025,5-50,0.8,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,0.8,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,0.8,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,0.8,0.6,all,131.0,40,4,10.0
2025,5-50,0.8,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,0.8,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,0.8,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,0.8,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,0.8,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,0.8,0.7,4,0.0,9,0,0.0
2025,5-50,0.8,0.7,5,0.0,6,0,0.0
2025,5-50,0.9,0.4,all,75.91954022988507,174,15,8.620689655172415
2025,5-50,0.9,0.4,3,75.8125,160,13,8.125
2025,5-50,0.9,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,0.9,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,0.9,0.5,all,102.0,80,8,10.0
2025,5-50,0.9,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,0.9,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,0.9,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,0.9,0.6,all,131.0,40,4,10.0
2025,5-50,0.9,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,0.9,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,0.9,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,0.9,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,0.9,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,0.9,0.7,4,0.0,9,0,0.0
2025,5-50,0.9,0.7,5,0.0,6,0,0.0
2025,5-50,1.0,0.4,all,75.91954022988507,174,15,8.620689655172415
2025,5-50,1.0,0.4,3,75.8125,160,13,8.125
2025,5-50,1.0,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,1.0,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,1.0,0.5,all,102.0,80,8,10.0
2025,5-50,1.0,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,1.0,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,1.0,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,1.0,0.6,all,131.0,40,4,10.0
2025,5-50,1.0,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,1.0,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,1.0,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,1.0,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,1.0,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,1.0,0.7,4,0.0,9,0,0.0
2025,5-50,1.0,0.7,5,0.0,6,0,0.0
2025,5-50,1.2,0.4,all,75.91954022988507,174,15,8.620689655172415
