feature_name,dtype,null_rate,unique_count,zero_rate,mean,std,min,max,median
past_10_last_3f_time_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_last_3f_time_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_4_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_4_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_4_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_4_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_finish_position_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_finish_position_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_finish_position_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_finish_position_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_last_3f_time_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_last_3f_time_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_last_3f_time_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_last_3f_time_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_margin_seconds_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_margin_seconds_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_margin_seconds_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_margin_seconds_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_1_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_1_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_1_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_1_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_4_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_4_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_4_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_1_passing_order_4_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_3_finish_position_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
